subset,n_members,mean_auc,auc_Site_A,auc_Site_B,auc_Site_C,auc_Site_D,auc_Site_E
mc+mc_sa+sa_strat+mc_sa_w3,4,0.8424872329548878,0.8001216154586761,0.8757865121822768,0.8273684210526315,0.8431648419113884,0.8659947741694661
mc+mc_sa+mc_sa_w3,3,0.8420656864792756,0.7994608381332027,0.8756929622751337,0.8314641148325359,0.843190422592858,0.8605200945626479
mc+mc_sa,2,0.8417460442786424,0.7988351941624581,0.8697508107658619,0.8292440191387559,0.840674988915038,0.8702252084110986
mc+mc_sa+sa_strat,3,0.8416582361927472,0.799485161224938,0.8705373229481387,0.8250334928229665,0.8405215048262219,0.8727136991414708
mc+mc_sa+mc_sa_w3+e09,4,0.84078610958036,0.7999912166613179,0.8758800620894198,0.8229665071770335,0.8430795729731575,0.8620131890008709
mc+mc_sa+sa_strat+mc_sa_w3+e09,5,0.8407001694511778,0.8001006705741263,0.8755093272722232,0.8208995215311004,0.8427384972202326,0.8642528306582058
mc+mc_sa+sa_strat+mc_sa_w3+sa,5,0.8406388139794727,0.7990635609681942,0.8742169526290989,0.820555023923445,0.8422439373784917,0.8671145949981337
mc+sa_strat+mc_sa_w3,3,0.8406209279434329,0.798941945509518,0.8749688166976191,0.8220095693779904,0.843429175619905,0.8637551325121314
mc+mc_sa+mc_sa_w3+sa,4,0.8405975512019028,0.7988007364491664,0.8737422734706323,0.8229282296650718,0.8431392612299191,0.8643772551947243
mc+mc_sa+sa_strat+e09,4,0.8397506000041155,0.7993628701248248,0.8705407877595145,0.8182200956937798,0.8407773116409154,0.8698519348015428
mc+mc_sa+sa_strat+mc_sa_w3+e09+sa,6,0.8397418048071202,0.7993297636944074,0.8741926989494693,0.8171866028708134,0.8420051843514446,0.8659947741694662
mc+mc_sa+mc_sa_w3+e09+sa,5,0.8395387308882345,0.7990426160836445,0.8741753748925909,0.8182583732057416,0.842337733210546,0.86387955704865
mc+mc_sa+sa_strat+sa,4,0.839498906371934,0.7984311605830786,0.8688187765058071,0.8175311004784689,0.8402486442238821,0.8724648500684336
mc+sa_strat+mc_sa_w3+e09,4,0.8394461688722611,0.799583129233316,0.8747505335809518,0.8159617224880383,0.8434291756199053,0.8635062834390942
mc_sa+sa_strat+mc_sa_w3,3,0.8394435702489309,0.797111632856443,0.8735101311084624,0.8251866028708134,0.8400184180906578,0.8613910663182781
mc+mc_sa+sa,3,0.839387529252169,0.7981960373629713,0.8675610499764392,0.8189473684210525,0.840888161260616,0.8713450292397661
mc+mc_sa+e09,3,0.8393479344439415,0.7990919379085519,0.8701769825650693,0.8201722488038278,0.840308332480644,0.866990170461615
mc+sa_strat+mc_sa_w3+sa,4,0.8391744895875709,0.7978730807560428,0.8725538431687779,0.8160765550239235,0.8426276476005321,0.8667413213885778
mc+mc_sa_w3,2,0.838974039978041,0.7966380082090434,0.8753949884968262,0.8251100478468899,0.844921382038951,0.8528057732984944
mc+sa_strat,2,0.8386892052975117,0.7971001469520126,0.867637275826704,0.8151961722488039,0.8394300624168627,0.8740823690431753
mc+mc_sa_w3+e09,3,0.8385053027316054,0.7989297839636504,0.8758246251074091,0.8159617224880382,0.843778778266653,0.8580316038322757
mc+mc_sa_w3+sa,3,0.8384005481246175,0.7967967839467593,0.8724464340161322,0.8159617224880382,0.8441624884886934,0.8626353116834641
mc_sa+sa_strat+mc_sa_w3+e09,4,0.8383615918668452,0.7979055115450231,0.8737041605454998,0.8191004784688996,0.8404532896756368,0.8606445190991663
mc+sa_strat+mc_sa_w3+e09+sa,5,0.8383571797253975,0.7985237234599598,0.87282409845608,0.8123253588516746,0.8424912172993622,0.8656215005599104
mc+mc_sa+sa_strat+e09+sa,5,0.8381499733461579,0.7984838606151715,0.869206835379882,0.8134736842105262,0.8396091271871482,0.8699763593380615
mc_sa+sa_strat+mc_sa_w3+sa,4,0.8380817434432176,0.7967055723527523,0.8724949413753915,0.818755980861244,0.8393192127971623,0.8631330098295383
mc+mc_sa+e09+sa,4,0.8379603222462177,0.7982413053392565,0.8687286914100396,0.8150047846889953,0.8402145366485896,0.867612293144208
mc_sa+mc_sa_w3+e09,3,0.837760724249439,0.7973514855666098,0.8740714305513209,0.8210909090909091,0.8408711074729698,0.855418688565385
mc_sa+mc_sa_w3+sa,3,0.8377401045535301,0.7960096616725505,0.8719128530642792,0.8207081339712918,0.8401719021794741,0.8598979718800547
mc_sa+mc_sa_w3,2,0.8374828888367848,0.795140448963735,0.8724152507137513,0.827866028708134,0.8405556124015143,0.8514371033967898
mc+mc_sa_w3+e09+sa,4,0.8374267558397689,0.798048071888249,0.8732086925187792,0.8102966507177033,0.8433183260002046,0.8622620380739081
mc_sa+sa_strat+mc_sa_w3+e09+sa,5,0.8373875688018799,0.7973372970964309,0.8725607727915292,0.8145837320574163,0.8400695794535966,0.8623864626104266
mc_sa+sa_strat,2,0.8373270263127569,0.7950691687921219,0.8654890927737893,0.822354066985646,0.8344929908932774,0.8692298121189499
mc_sa+mc_sa_w3+e09+sa,4,0.836929091825772,0.7968474570545412,0.8727963799650746,0.8156937799043061,0.8399075684709574,0.8594002737339803
mc+sa_strat+e09,3,0.8367997933275373,0.7982061719845277,0.8679698977187682,0.808688995215311,0.8397796650636105,0.8693542366554685
mc+sa_strat+sa,3,0.8365933882016006,0.7959745283178218,0.8652257671092385,0.8081913875598086,0.8389951908318837,0.8745800671892496
mc,1,0.8361996939932922,0.7902558991942976,0.8646713972891314,0.8189473684210525,0.8387649646986596,0.8683588403633197
mc_sa+sa_strat+e09,3,0.8360316303836555,0.7960224988598551,0.8672007095933698,0.8152344497607656,0.8360789931443773,0.8656215005599104
mc_sa+sa_strat+sa,3,0.8360315808392977,0.7951090316369103,0.8654648390941597,0.8144306220095694,0.8355503257273439,0.8696030857285056
sa_strat+mc_sa_w3+e09,3,0.8358410761202248,0.7966572639900006,0.8711402001275051,0.8118660287081341,0.840888161260616,0.8586537265148688
mc+sa_strat+e09+sa,4,0.8355676112160711,0.7971514957012312,0.866466169581728,0.8045550239234451,0.8391913093898153,0.8704740574841359
sa_strat+mc_sa_w3+sa,3,0.8352851077918576,0.7943590696417411,0.8691444687751199,0.8123636363636363,0.8389184487874757,0.8616399153913152
mc_sa+sa_strat+e09+sa,4,0.8350824799738543,0.7958353461817813,0.866937383928819,0.8100287081339712,0.8366161874552337,0.8659947741694662
mc+sa,2,0.8350546708227377,0.7940327348276269,0.8618579704520886,0.8066602870813396,0.8408796343667928,0.8718427273858405
sa_strat+mc_sa_w3+e09+sa,4,0.8350097218076424,0.7959596642062057,0.8703121102087202,0.8084976076555024,0.8396347078686176,0.8606445190991664
mc+e09,2,0.8349513935530968,0.7965447696907252,0.8672769354436345,0.8053588516746412,0.8392083631774617,0.8663680477790221
mc_sa+sa,2,0.8349244686987586,0.7945137915308346,0.8628177232031488,0.816153110047847,0.8355162181520515,0.8656215005599104
mc_sa,1,0.834749753150858,0.7932037227843184,0.8600320148571112,0.8276746411483252,0.8316961697192946,0.8611422172452408
mc_sa+e09,2,0.8345703369843601,0.7947232403763322,0.8657316295700861,0.8174162679425836,0.8342116033971145,0.8607689436356849
sa_strat+mc_sa_w3,2,0.8345094625684707,0.7944475786699998,0.869258807550517,0.8178755980861243,0.8381595552372183,0.8528057732984945
mc+e09+sa,3,0.8342173667808567,0.7963407259767241,0.8656588685311972,0.8020669856459329,0.8395323851427402,0.8674878686076894
mc_sa+e09+sa,3,0.8338801964664656,0.7950813303379897,0.8656172907946893,0.8106411483253588,0.835550325727344,0.8625108871469453
mc_sa_w3+e09+sa,3,0.8331717368252718,0.7946333800651993,0.8697993181251213,0.8068133971291866,0.8408114192162077,0.8538011695906432
mc_sa_w3+e09,2,0.8328651786319146,0.7947164839619615,0.8710293261634836,0.8123253588516746,0.8421586684402604,0.8440960557421924
mc_sa_w3+sa,2,0.8320992229317568,0.7919855412732463,0.8668750173240569,0.8113301435406698,0.8407346771717997,0.8495707353490108
sa_strat+e09+sa,3,0.8304827639076588,0.7926942891407529,0.860472045901821,0.7973588516746413,0.8341519151403527,0.8677367176807267
sa_strat+e09,2,0.8300128129113482,0.7925145685184871,0.8581540870914988,0.7983923444976078,0.8323953750127904,0.8686076894363569
sa_strat+sa,2,0.8292045822242743,0.7889377227505364,0.8559366078110707,0.7979712918660286,0.8312101367713769,0.871967151922359
sa_strat,1,0.8266752253116547,0.7856500515176595,0.8495856085594701,0.8025645933014354,0.8195027115522358,0.876073161627473
e09+sa,2,0.826426583655208,0.7906227724946371,0.8577833522743021,0.7906985645933015,0.8328814079607081,0.8601468209530919
mc_sa_w3,1,0.8244453272992015,0.786273668564093,0.8599939019319789,0.8169186602870813,0.8400781063474199,0.8189622993654349
e09,1,0.8213483329172027,0.7864425789233654,0.8535736064528647,0.7866411483253588,0.8260343122207443,0.8540500186636806
sa,1,0.8211146246443848,0.7838190632231474,0.8440280511128975,0.7834258373205742,0.8305450390531737,0.8637551325121314
